# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi                   5:dens[1]-dens[1]        6:dens[1]-dens[2]        7:dens[1]-dens[3]        8:dens[1]-dens[4]        9:dens[2]-dens[2]       10:dens[2]-dens[3]       11:dens[2]-dens[4]       12:dens[3]-dens[3]       13:dens[3]-dens[4]       14:dens[4]-dens[4]       15:phi-dens[1]           16:phi-dens[2]           17:phi-dens[3]           18:phi-dens[4]           19:lens[1]-lens[1]       20:lens[1]-lens[2]       21:lens[1]-lens[3]       22:lens[1]-lens[4]       23:lens[2]-lens[2]       24:lens[2]-lens[3]       25:lens[2]-lens[4]       26:lens[3]-lens[3]       27:lens[3]-lens[4]       28:lens[4]-lens[4]       29:dens[1]-lens[1]       30:dens[1]-lens[2]       31:dens[1]-lens[3]       32:dens[1]-lens[4]       33:dens[2]-lens[1]       34:dens[2]-lens[2]       35:dens[2]-lens[3]       36:dens[2]-lens[4]       37:dens[3]-lens[1]       38:dens[3]-lens[2]       39:dens[3]-lens[3]       40:dens[3]-lens[4]       41:dens[4]-lens[1]       42:dens[4]-lens[2]       43:dens[4]-lens[3]       44:dens[4]-lens[4]    
    2       1.494387713759e-10       8.607610497519e-09       4.844344484710e-10       1.024917117606e-06      -7.606380219728e-07       1.141260132092e-08       8.472207960774e-08       1.618077227780e-06      -4.743383092608e-07       6.378941785053e-08       1.204810123094e-06      -1.131486064384e-07       4.912467367417e-07      -2.541303674397e-08      -2.631902948694e-08      -3.063674166954e-08      -3.511307483291e-08       1.713614696371e-09       2.208070909465e-09       2.386217120610e-09       2.514367201702e-09       3.021438884338e-09       3.355622685402e-09       3.607391240002e-09       3.787146111143e-09       4.125938938628e-09       4.551553451313e-09      -4.329522265938e-09      -4.112022080446e-09      -6.834167384152e-09      -1.068500469587e-08      -1.462505862613e-08      -1.949088760429e-08      -1.978304385280e-08      -2.040330256460e-08      -1.520659535379e-08      -2.191173148973e-08      -2.455222068836e-08      -2.578705699644e-08      -1.573435232595e-08      -2.299434301190e-08      -2.656664483250e-08      -2.921843305880e-08 
    3       1.408324925182e-10       5.395957708826e-09       3.460601671469e-10       1.414511788452e-06      -1.218620847609e-06       1.162439706054e-07       1.790346523046e-07       2.757904765986e-06      -8.724412402235e-07       1.912474200047e-07       2.207330182639e-06      -1.966101706079e-07       9.517847690017e-07      -2.344848109597e-08      -2.820887461990e-08      -3.395059475114e-08      -3.987719104869e-08       8.151241957678e-10       1.089241196538e-09       1.183439247522e-09       1.248555029118e-09       1.580675864796e-09       1.781248981001e-09       1.927112510641e-09       2.053105731723e-09       2.261885678169e-09       2.535300058478e-09      -4.925095759365e-09      -4.768603371328e-09      -7.574057424446e-09      -1.128856883123e-08      -1.419251973852e-08      -2.024216384508e-08      -2.044242362846e-08      -2.120573521126e-08      -1.474139967924e-08      -2.284048163684e-08      -2.620394881005e-08      -2.757202833026e-08      -1.532707105489e-08      -2.403193412095e-08      -2.854654809115e-08      -3.189463615043e-08 
    4       1.323680468512e-10       3.764866756883e-09       2.632120148063e-10       1.763915561489e-06      -1.615285414678e-06       2.628343764390e-07       2.876128976911e-07       3.910063319569e-06      -1.283918448242e-06       4.018410982146e-07       3.351187166377e-06      -2.644852182982e-07       1.531191287367e-06      -2.144296590931e-08      -2.927274149468e-08      -3.622557541485e-08      -4.340106694020e-08       4.609970518508e-10       6.342935525279e-10       6.923621622111e-10       7.316602560039e-10       9.652987727455e-10       1.100863896755e-09       1.197272927631e-09       1.291416551733e-09       1.435871449320e-09       1.630959083896e-09      -5.124921281794e-09      -5.238015068701e-09      -8.037776042606e-09      -1.146311103169e-08      -1.359506584130e-08      -2.052734868025e-08      -2.080171757209e-08      -2.183456887154e-08      -1.419127639641e-08      -2.325755668910e-08      -2.725972728522e-08      -2.881422375322e-08      -1.483698978843e-08      -2.458683992463e-08      -2.987082383457e-08      -3.384561329707e-08 
    5       1.256671785712e-10       2.812780637474e-09       2.087164532292e-10       2.080277901303e-06      -1.933476734177e-06       4.190267418708e-07       3.996073277884e-07       5.004568051822e-06      -1.654435310672e-06       6.856579215215e-07       4.568364352478e-06      -2.941087458894e-07       2.212581669313e-06      -1.956675990747e-08      -2.985973522945e-08      -3.784770529470e-08      -4.613113869473e-08       2.884279020187e-10       4.067979407864e-10       4.459852242070e-10       4.722255904689e-10       6.445123675033e-10       7.427114797043e-10       8.115484927695e-10       8.848139171166e-10       9.917153127277e-10       1.139641983161e-09      -5.066507433271e-09      -5.428912125902e-09      -8.147547266644e-09      -1.123798402048e-08      -1.293875098915e-08      -2.048634950943e-08      -2.092003001548e-08      -2.224713468150e-08      -1.360591513560e-08      -2.333364866629e-08      -2.787315043798e-08      -2.963775340546e-08      -1.429727069595e-08      -2.481272036349e-08      -3.072093187043e-08      -3.524863191463e-08 
    6       1.207312878625e-10       2.197968104120e-09       1.703643487852e-10       2.362253836284e-06      -2.174803057924e-06       5.635629980731e-07       5.090579371864e-07       6.011680742592e-06      -1.952855667053e-06       1.025002013761e-06       5.809746224215e-06      -2.703213675505e-07       2.979710969776e-06      -1.777923230891e-08      -3.006026114683e-08      -3.892487558985e-08      -4.819251717069e-08       1.926057115946e-10       2.775511326656e-10       3.055152278354e-10       3.241278976974e-10       4.555403363145e-10       5.298716023053e-10       5.814594609005e-10       6.401274932374e-10       7.226797523625e-10       8.392809427355e-10      -4.845959679005e-09      -5.379938381959e-09      -7.964784284904e-09      -1.072158791259e-08      -1.225307268494e-08      -2.019960501771e-08      -2.082722408472e-08      -2.242289841299e-08      -1.298526565259e-08      -2.314791941827e-08      -2.812304467985e-08      -3.009914856515e-08      -1.370245128534e-08      -2.476758617847e-08      -3.117747975217e-08      -3.618271531753e-08 
    7       1.172690799201e-10       1.772548400128e-09       1.420691541779e-10       2.608217005203e-06      -2.348281944830e-06       6.863288909621e-07       6.129652847459e-07       6.925113499550e-06      -2.165434561089e-06       1.403485380403e-06       7.043254782994e-06      -1.833988383030e-07       3.819559290547e-06      -1.607372464680e-08      -2.997117376880e-08      -3.957694823295e-08      -4.971673902174e-08       1.348111843884e-10       1.979689207250e-10       2.187223767044e-10       2.324860999388e-10       3.353149998588e-10       3.933672583186e-10       4.333700423705e-10       4.813663004006e-10       5.470691449087e-10       6.415483423835e-10      -4.543223201485e-09      -5.171752515725e-09      -7.591450582250e-09      -1.003656875189e-08      -1.157263136672e-08      -1.975456049908e-08      -2.058448200827e-08      -2.240632445566e-08      -1.235594959427e-08      -2.278805371179e-08      -2.810914124773e-08      -3.028830390799e-08      -1.308322582654e-08      -2.453091512279e-08      -3.134351909526e-08      -3.675790556399e-08 
    8       1.149516203969e-10       1.463868850296e-09       1.204564199171e-10       2.817373609570e-06      -2.465773281024e-06       7.842010349789e-07       7.089490936177e-07       7.749793109095e-06      -2.290416076717e-06       1.808191724763e-06       8.249083224643e-06      -2.885119816207e-08       4.721273727720e-06      -1.446883149419e-08      -2.968477542666e-08      -3.991637510158e-08      -5.082773073117e-08       9.781778491608e-11       1.460599464189e-10       1.619198013834e-10       1.724148463473e-10       2.545083410699e-10       3.009266859137e-10       3.327459514346e-10       3.726756506461e-10       4.261660514634e-10       5.043256963562e-10      -4.205090136219e-09      -4.865035227084e-09      -7.103349040110e-09      -9.265654208338e-09      -1.091639729614e-08      -1.921166843390e-08      -2.023747673381e-08      -2.224043313795e-08      -1.173569124898e-08      -2.231419560397e-08      -2.790496690337e-08      -3.027342666160e-08      -1.246172168827e-08      -2.415985766891e-08      -3.129486700703e-08      -3.705787545073e-08 
    9       1.135372747202e-10       1.232262484552e-09       1.034972451329e-10       2.990501616869e-06      -2.539540294772e-06       8.575233958735e-07       7.944879558402e-07       8.494860410502e-06      -2.332939278790e-06       2.229869923952e-06       9.415889464605e-06       1.937261451143e-07       5.675590946946e-06      -1.298146370803e-08      -2.927559677413e-08      -4.003207806964e-08      -5.162803225439e-08       7.304071925151e-11       1.106863653509e-10       1.230858958654e-10       1.312796196288e-10       1.978923174719e-10       2.356981622188e-10       2.615129527902e-10       2.951844051812e-10       3.395085810159e-10       4.052259933747e-10      -3.856429840596e-09      -4.499559472552e-09      -6.550226739060e-09      -8.459069914948e-09      -1.029359717441e-08      -1.861123427742e-08      -1.981836427690e-08      -2.196060872608e-08      -1.113506357309e-08      -2.176674458464e-08      -2.756313215753e-08      -3.010425463787e-08      -1.185199094924e-08      -2.369464522325e-08      -3.108602863969e-08      -3.714446236992e-08 
   10       1.128136004262e-10       1.053749276712e-09       8.994071606382e-11       3.129099148083e-06      -2.580707767870e-06       9.081985473042e-07       8.671628444096e-07       9.170150506023e-06      -2.301447760437e-06       2.662351240327e-06       1.053812979773e-05       4.818797080963e-07       6.674597752119e-06      -1.161221824471e-08      -2.878788632025e-08      -3.998284033513e-08      -5.218432826280e-08       5.583921258989e-11       8.573484846130e-11       9.560843622271e-11       1.021270176299e-10       1.569110521462e-10       1.881631328937e-10       2.094401740790e-10       2.381533862026e-10       2.754074869740e-10       3.313912294035e-10      -3.512115292741e-09      -4.103193250758e-09      -5.966444790942e-09      -7.649082331389e-09      -9.708275804149e-09      -1.798055333365e-08      -1.935040806338e-08      -2.159550356707e-08      -1.056041856431e-08      -2.117375100934e-08      -2.712224488079e-08      -2.981811815571e-08      -1.126298688504e-08      -2.316467289306e-08      -3.075741685716e-08      -3.706464615697e-08 
   11       1.126369620326e-10       8.858038238126e-10       7.917954707958e-11       3.236527810641e-06      -2.598455713249e-06       9.387363042994e-07       9.250746916125e-07       9.784631306097e-06      -2.205439921891e-06       3.101731349962e-06       1.161402784938e-05       8.313570437955e-07       7.711423493825e-06      -1.026699988642e-08      -2.814595718321e-08      -3.966432990908e-08      -5.236862041587e-08       4.354211424935e-11       6.763509800199e-11       7.561743650441e-11       8.088416513285e-11       1.264559459977e-10       1.526093320728e-10       1.703751297529e-10       1.950915373601e-10       2.267716111429e-10       2.749811512234e-10      -3.182751141054e-09      -3.697094545531e-09      -5.377325961088e-09      -6.858109472689e-09      -9.161588620378e-09      -1.733828533677e-08      -1.885076728823e-08      -2.116804748330e-08      -1.001529545643e-08      -2.055501574941e-08      -2.661101233594e-08      -2.944347815316e-08      -1.070008194126e-08      -2.259170145013e-08      -3.033943189409e-08      -3.685458614594e-08 
